Method_Topic,fiscal_year,duration_days_sum,duration_days_avg,award_amount_sum,award_amount_avg,num_projects
Imaging (MRI/CT/PET/Microscopy),2011,105295.0,408.12015503875966,99632568.0,386172.74418604653,258
Imaging (MRI/CT/PET/Microscopy),2012,116838.0,409.9578947368421,115204634.0,404226.78596491227,285
Imaging (MRI/CT/PET/Microscopy),2013,110477.0,424.91153846153844,105083687.0,404168.02692307695,260
Imaging (MRI/CT/PET/Microscopy),2014,106013.0,425.7550200803213,105407604.0,423323.7108433735,249
Imaging (MRI/CT/PET/Microscopy),2015,110584.0,406.55882352941177,113832441.0,418501.6213235294,272
Imaging (MRI/CT/PET/Microscopy),2016,133254.0,415.1214953271028,145753536.0,454060.8598130841,321
Imaging (MRI/CT/PET/Microscopy),2017,129068.0,405.87421383647796,138229837.0,434685.0220125786,318
Imaging (MRI/CT/PET/Microscopy),2018,149823.0,399.528,161650115.0,431066.9733333333,375
Imaging (MRI/CT/PET/Microscopy),2019,154996.0,441.5840455840456,186620762.0,531683.0826210827,351
Imaging (MRI/CT/PET/Microscopy),2020,139479.0,431.8235294117647,186143952.0,576297.0650154799,323
Imaging (MRI/CT/PET/Microscopy),2021,126947.0,421.75083056478405,174292434.0,579044.6312292359,301
Imaging (MRI/CT/PET/Microscopy),2022,144360.0,427.10059171597635,237616102.0,703006.2189349112,338
Imaging (MRI/CT/PET/Microscopy),2023,140345.0,435.85403726708074,231372444.0,718547.9627329193,322
Imaging (MRI/CT/PET/Microscopy),2024,113317.0,389.40549828178695,177028350.0,608344.8453608247,291
Imaging (MRI/CT/PET/Microscopy),2025,96629.0,373.0849420849421,179083396.0,691441.6833976834,259
